split,race_date,R,E,E4,TE,X,won,Horse,NewSplit
A BIT OF BOTH_var204_Lasix: With Lasix,10/11/2020,1,1,0,2,0,1,A BIT OF BOTH,Lasix: With Lasix
A BIT OF BOTH_var204_Lasix: With Lasix,11/15/2020,1,0,0,0,0,1,A BIT OF BOTH,Lasix: With Lasix
A BIT OF BOTH_var204_Lasix: With Lasix,12/5/2020,1,0,0,0,1,0,A BIT OF BOTH,Lasix: With Lasix
A BIT OF BOTH_var204_Lasix: Without Lasix,2/6/2021,1,0,0,0,1,0,A BIT OF BOTH,Lasix: Without Lasix
A BIT OF BOTH_var205_Blinkers: With Blinkers,9/28/2018,1,1,0,3,0,1,A BIT OF BOTH,Blinkers: With Blinkers
A BIT OF BOTH_var205_Blinkers: With Blinkers,1/10/2019,1,0,0,0,1,0,A BIT OF BOTH,Blinkers: With Blinkers
A BIT OF BOTH_var205_Blinkers: With Blinkers,2/14/2019,1,1,1,4,0,1,A BIT OF BOTH,Blinkers: With Blinkers
A BIT OF BOTH_var205_Blinkers: With Blinkers,3/14/2019,1,1,0,2,0,1,A BIT OF BOTH,Blinkers: With Blinkers
A BIT OF BOTH_var205_Blinkers: With Blinkers,4/20/2019,1,1,1,4,0,1,A BIT OF BOTH,Blinkers: With Blinkers
A BIT OF BOTH_var205_Blinkers: With Blinkers,6/15/2019,1,1,0,3,0,1,A BIT OF BOTH,Blinkers: With Blinkers
A BIT OF BOTH_var205_Blinkers: With Blinkers,7/14/2019,1,0,0,1,0,0,A BIT OF BOTH,Blinkers: With Blinkers
A BIT OF BOTH_var205_Blinkers: With Blinkers,10/14/2019,1,0,0,0,1,1,A BIT OF BOTH,Blinkers: With Blinkers
A BIT OF BOTH_var205_Blinkers: With Blinkers,10/14/2019,1,1,0,2,0,1,A BIT OF BOTH,Blinkers: With Blinkers
A BIT OF BOTH_var205_Blinkers: With Blinkers,11/26/2019,1,1,1,4,0,1,A BIT OF BOTH,Blinkers: With Blinkers
A BIT OF BOTH_var205_Blinkers: With Blinkers,12/14/2019,1,0,0,0,1,0,A BIT OF BOTH,Blinkers: With Blinkers
A BIT OF BOTH_var205_Blinkers: With Blinkers,1/25/2020,1,0,0,0,1,0,A BIT OF BOTH,Blinkers: With Blinkers
A BIT OF BOTH_var205_Blinkers: With Blinkers,7/11/2020,1,1,0,2,0,0,A BIT OF BOTH,Blinkers: With Blinkers
A BIT OF BOTH_var205_Blinkers: With Blinkers,8/28/2020,1,0,0,0,1,0,A BIT OF BOTH,Blinkers: With Blinkers
A BIT OF BOTH_var205_Blinkers: With Blinkers,10/11/2020,1,1,0,2,0,1,A BIT OF BOTH,Blinkers: With Blinkers
A BIT OF BOTH_var205_Blinkers: With Blinkers,11/15/2020,1,0,0,0,0,1,A BIT OF BOTH,Blinkers: With Blinkers
A BIT OF BOTH_var205_Blinkers: With Blinkers,12/5/2020,1,0,0,0,1,0,A BIT OF BOTH,Blinkers: With Blinkers
A BIT OF BOTH_var205_Blinkers: With Blinkers,2/6/2021,1,0,0,0,1,0,A BIT OF BOTH,Blinkers: With Blinkers
